titulo
Armindo Alves
1989
Holiday in Rio
São Martinho
Avé Maria
Súplica
Senhora Nossa
Invocação a Deus
São Bento
Filarmonia
Tarântula
Fate of the Gods
Canções da Tradição
76 Trombones
Paquito Chocolatero
Xabia
Sonhos de Portugal
Vila Franca
Tannhauser Ouverture
Crucifixus
Aguas do Botaréu
La Tuba Bregosa
Cidade Esposende
ABBA Gold
Gibraltar
Zé Pedro
Concha
Hosanna in excelsis
Jerusalen
S. João de Braga
