titulo
Homenagem a J. Serra
Armindo Alves
1989
Manuel Joaquim ALmeida
Filarmonia
Caçadores do I
Homenagem ao Dr Manuel Vaz
Homenagem a Vila Verde
12 de Abril
Tarântula
Paquito Chocolatero
Xabia
Aguas do Botaréu
Cidade Esposende
Filhos da Nação
Zé Pedro
S. João de Braga
A Portuguesa
